epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1851,0.88996,1.6731,1.16943,0.95156,0.98935,0.99116,0.7391,0.74632,42.9917,1.00094,0.000661202,0.000661202,0.000661202
2,93.5622,0.93327,1.16191,1.18732,0.88624,0.77698,0.89744,0.63717,0.8817,9.19972,1.06087,0.00131472,0.00131472,0.00131472
3,133.526,0.96422,0.89741,1.1927,0.95098,0.97688,0.98626,0.7327,0.78141,2.75884,0.94301,0.00195504,0.00195504,0.00195504
4,181.892,0.91532,0.72919,1.15857,0.99151,1,0.99464,0.84559,0.57515,0.7048,0.88591,0.0019406,0.0019406,0.0019406
5,222.289,0.84621,0.64604,1.12529,0.99166,1,0.995,0.86733,0.46862,1.12099,0.79676,0.0019208,0.0019208,0.0019208
6,263.673,0.79536,0.58314,1.08895,0.99956,1,0.995,0.90603,0.39475,0.62091,0.76015,0.001901,0.001901,0.001901
7,305.394,0.77504,0.56173,1.09704,0.99918,1,0.995,0.89457,0.43555,0.62795,0.78101,0.0018812,0.0018812,0.0018812
8,346.571,0.73399,0.52191,1.06871,1,0.99033,0.995,0.9001,0.38979,0.38277,0.74595,0.0018614,0.0018614,0.0018614
9,387.469,0.7275,0.51805,1.06904,0.99947,1,0.995,0.89051,0.39902,0.38736,0.74371,0.0018416,0.0018416,0.0018416
10,428.705,0.72391,0.50247,1.07062,0.99285,0.99948,0.99479,0.90965,0.39527,0.39617,0.74865,0.0018218,0.0018218,0.0018218
11,469.549,0.71102,0.4895,1.05538,0.99947,1,0.995,0.91674,0.34851,0.27574,0.71517,0.001802,0.001802,0.001802
12,510.395,0.67498,0.46058,1.04224,0.99919,1,0.995,0.91727,0.37567,0.26816,0.72379,0.0017822,0.0017822,0.0017822
13,551.572,0.6808,0.44539,1.0426,0.99597,1,0.995,0.9495,0.29826,0.26199,0.70537,0.0017624,0.0017624,0.0017624
14,592.889,0.64013,0.45151,1.02627,0.99725,1,0.995,0.94015,0.31843,0.2445,0.69365,0.0017426,0.0017426,0.0017426
15,632.741,0.63545,0.44109,1.01587,0.9978,1,0.995,0.95234,0.27741,0.22483,0.6837,0.0017228,0.0017228,0.0017228
16,672.446,0.61342,0.42051,1.01769,0.99955,1,0.995,0.95506,0.28752,0.21433,0.68395,0.001703,0.001703,0.001703
17,713.025,0.62199,0.41409,1.01866,0.99898,1,0.995,0.95197,0.29493,0.21026,0.69385,0.0016832,0.0016832,0.0016832
18,752.746,0.60417,0.41751,1.01257,0.99952,1,0.995,0.9547,0.27972,0.20381,0.67328,0.0016634,0.0016634,0.0016634
19,791.637,0.63267,0.42998,1.03104,0.99948,1,0.995,0.95432,0.29927,0.22088,0.71116,0.0016436,0.0016436,0.0016436
20,830.514,0.5862,0.40034,1.00441,0.99952,1,0.995,0.9602,0.27744,0.20604,0.68522,0.0016238,0.0016238,0.0016238
21,869.969,0.60807,0.39759,1.01203,0.99947,1,0.995,0.96964,0.23451,0.18952,0.65941,0.001604,0.001604,0.001604
22,909.275,0.56202,0.37477,0.99462,0.99956,1,0.995,0.96664,0.25923,0.20213,0.66075,0.0015842,0.0015842,0.0015842
23,949.433,0.56949,0.38547,0.99701,0.99954,1,0.995,0.97713,0.23755,0.18637,0.65754,0.0015644,0.0015644,0.0015644
24,989.835,0.57656,0.38011,0.98883,0.99956,1,0.995,0.96804,0.23816,0.18533,0.66108,0.0015446,0.0015446,0.0015446
25,1029.75,0.55519,0.3704,0.98682,0.99948,1,0.995,0.96193,0.2736,0.24839,0.6747,0.0015248,0.0015248,0.0015248
26,1070.07,0.54661,0.36088,0.98749,0.99956,1,0.995,0.96459,0.25644,0.18976,0.65439,0.001505,0.001505,0.001505
27,1110.84,0.53502,0.36153,0.98194,0.99956,1,0.995,0.96123,0.24627,0.19118,0.6585,0.0014852,0.0014852,0.0014852
28,1149.7,0.53054,0.35286,0.97104,0.99546,1,0.995,0.96666,0.25604,0.18261,0.65564,0.0014654,0.0014654,0.0014654
